bibkey,title,match_confidence,score,method
liang_midi-sandwich2_2019,MIDI-Sandwich2: RNN-based Hierarchical Multi-modal Fusion Generation VAE networks for multi-track symbolic music generation,high,1.0,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
liang_midi-sandwich_2019,MIDI-Sandwich: Multi-model Multi-task Hierarchical Conditional VAE-GAN networks for Symbolic Single-track Music Generation,high,1.0,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
liu_score_2020,Score and lyrics-free singing voice generation,high,1.06,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
liu_diffsinger_2022,Diffsinger: Singing voice synthesis via shallow diffusion mechanism,high,1.14,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
liu_learning_2022,Learning the Beauty in Songs: Neural Singing Voice Beautifier,high,1.14,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
liu_diffgan-tts_2022,Diffgan-TTS: High-fidelity and efficient text-to-speech with denoising diffusion gans,high,1.08,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
liu2021conditional,Conditional sound generation using neural discrete time-frequency representation learning,high,0.867,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
louie_expressive_2021,Expressive communication: A common framework for evaluating developments in generative models and steering interfaces,high,1.08,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
lu_study_2021,A study on speech enhancement based on diffusion probabilistic model,high,1.08,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
lu_conditional_2022,Conditional Diffusion Probabilistic Model for Speech Enhancement,high,0.992,appendix item title->bibkey fuzzy match (quoted/unquoted + dehyphen)
luo_mg-vae_2019,MG-VAE: Deep Chinese folk songs generation with specific regional styles,high,1.14,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
lv_re-creation_2023,Re-creation of Creations: A New Paradigm for Lyric-to-Melody Generation,high,1.14,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
marafioti_context_2019,A context encoder for audio inpainting,high,1.14,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
mccarthy_hooligan_2020,"HooliGAN: Robust, high quality neural vocoding",high,1.06,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
min_meta-stylespeech_2021,Meta-stylespeech: Multi-speaker adaptive text-to-speech generation,high,1.14,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
ming_feature_2019,Feature reinforcement with word embedding and parsing information in neural TTS,high,1.06,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
mittal_symbolic_2021,Symbolic Music Generation with Diffusion Models,high,1.0,appendix item title->bibkey exact match (quoted/unquoted + dehyphen)
morrison_controllable_2020,Controllable neural prosody synthesis,high,1.06,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
motsoehli_comparision_nodate,Comparision Of Adversarial And Non-Adversarial LSTM Music Generative Models,high,1.08,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
mustafa_analysis_2019,Analysis by Adversarial Synthesis--A Novel Approach for Speech Vocoding,high,1.06,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
mustafa_badi_neural_2021,Neural Network-based Vocoders in Arabic Speech Synthesis,high,1.08,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
nakatani_maximum_2019,Maximum likelihood convolutional beamformer for simultaneous denoising and dereverberation,high,1.14,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
neves_generating_2022,Generating music with sentiment using Transformer-GANs,high,1.08,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
nugraha_deep_2019,A deep generative model of speech complex spectrograms,high,1.08,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
pariente_statistically_2019,A statistically principled and computationally efficient approach to speech enhancement using variational autoencoders,high,1.0,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
park_sinusoidal_nodate,Sinusoidal wave generating network based on adversarial learning and its application: synthesizing frog sounds for data augmentation,high,1.0,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
pati_is_2021,Is disentanglement enough? On latent representations for controllable music generation,high,1.14,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
pati_learning_2019,Learning to traverse latent spaces for musical score inpainting,high,1.0,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
polyak2021high,High fidelity speech regeneration with application to speech enhancement,high,1.14,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
polyak2020unsupervised,Unsupervised cross-domain singing voice conversion,high,1.06,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
proctor_laptop_2020,A Laptop Ensemble Performance System using Recurrent Neural Networks,high,1.06,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
pu_building_2022,Building Synthetic Speaker Profiles in Text-to-Speech Systems,high,1.08,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
purwins2019deep,Deep learning for audio signal processing,high,1.14,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
raja_music_2020,Music generation with temporal structure augmentation,high,1.06,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
